,cpu_core,brand,cpu_brand,gpu_brand,gpu,cpu_type_name,screen_surface,touchscreen,discrete_gpu,detachable_keyboard,threading,screen_size,ram,ssd,weight,cpu_GHZ,pixels_x,cpu_benchmark,gpu_benchmark,min_price,max_price
480,QUAD-CORE,DELL,AMD,AMD,AMD RADEON VEGA 10,RYZEN 7,GLOSSY,1,0,0.0,1.0,13.3,12,256,3.86,2.2,1920,6903.0,1571.0,512.99,517.99
449,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,512,4.14,2.2,1920,10418.0,10210.0,2099.0,2099.0
475,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,12,0,4.23,1.6,1366,6372.0,888.0,621.0,621.99
434,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 6000,CORE I5,GLOSSY,0,0,0.0,1.0,11.6,4,128,2.38,1.6,1366,2142.0,829.0,418.0,418.0
368,QUAD-CORE,ACER,INTEL,INTEL,INTEL HD,ATOM,MATTE,0,0,0.0,0.0,15.6,4,16,4.3,1.04,1366,1196.0,10.0,197.97,197.99
55,DUAL-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE 940M,CORE I5,MATTE,0,1,0.0,1.0,15.6,8,0,5.29,2.2,1920,2546.0,1048.0,789.0,789.0
322,QUAD-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I5,MATTE,0,1,0.0,0.0,15.6,8,256,5.95,2.5,1920,5260.0,6657.0,705.98,748.0
76,HEXA-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,17.3,8,256,9.74,2.2,1920,10418.0,10210.0,1699.0,1699.0
504,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 500,CELERON,MATTE,0,0,0.0,0.0,15.6,4,0,4.85,1.1,1366,1123.0,317.0,299.99,342.0
347,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,256,5.1,2.8,1920,7069.0,5595.0,938.0,938.0
415,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1660 TI,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,250,4.85,2.6,1920,11636.0,12791.0,1209.0,1229.0
220,DUAL-CORE,APPLE,INTEL,INTEL,INTEL IRIS PLUS 640,CORE I5,GLOSSY,0,0,0.0,1.0,13.3,8,256,3.02,2.3,2560,4675.0,1377.0,1299.0,1402.49
117,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,250,5.0,2.6,1920,11636.0,15156.0,1339.0,1349.0
249,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,11.6,4,16,2.43,1.6,1366,759.0,329.0,186.94,187.0
173,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 3000,CORE I5,MATTE,0,0,0.0,1.0,14.0,8,128,5.0,2.5,1366,2275.0,258.0,179.0,198.49
93,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,15.6,16,512,4.68,1.6,1366,6068.0,888.0,768.99,819.95
325,QUAD-CORE,OTHER,INTEL,INTEL,INTEL HD 4000,CELERON,Unknown,0,0,0.0,0.0,12.5,3,32,2.42,1.44,1366,112.0,329.0,165.05,165.05
275,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I5,MATTE,0,0,0.0,1.0,15.6,8,256,5.2,2.5,1366,3522.0,888.0,450.0,457.99
342,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,0,0,0.0,0.0,15.6,4,0,4.7,2.16,1366,530.0,10.0,349.0,349.0
70,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,15.6,12,0,4.85,1.8,1920,6134.0,888.0,733.0,748.0
505,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 4400,CORE I3,GLOSSY,1,0,0.0,1.0,15.6,4,0,6.0,1.9,1366,1863.0,530.0,383.51,383.51
9,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,0,0,0.0,1.0,15.6,8,0,5.07,2.4,1366,2806.0,888.0,379.0,389.0
250,DUAL-CORE,ACER,INTEL,INTEL,INTEL UHD 600,CELERON,MATTE,0,0,0.0,0.0,14.0,4,64,3.64,1.1,1920,1278.0,345.0,246.81,275.99
408,QUAD-CORE,MICROSOFT,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,GLOSSY,1,1,1.0,1.0,13.5,16,512,3.62,1.9,3000,6620.0,5595.0,1865.0,1875.0
423,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,15.6,32,500,4.6,2.6,1920,11636.0,16632.0,1649.0,1749.0
451,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,512,5.75,2.6,1920,11636.0,15156.0,1699.98,1763.02
172,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,15.6,2,16,4.9,2.16,1366,530.0,10.0,215.0,215.0
30,HEXA-CORE,HP,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,15.6,64,2000,5.26,2.6,3840,11636.0,16632.0,2199.99,2199.99
448,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I3,MATTE,0,0,0.0,1.0,15.6,4,128,4.96,2.7,1366,3190.0,888.0,395.99,395.99
90,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,15.6,16,256,4.37,1.6,1920,6068.0,888.0,849.99,849.99
381,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 4400,CORE I5,GLOSSY,0,0,0.0,1.0,17.3,4,0,6.17,1.7,1600,2343.0,530.0,649.0,649.0
131,HEXA-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,17.3,8,0,9.74,2.2,1920,10418.0,10210.0,1382.0,1382.0
364,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 520,CORE I7,MATTE,0,0,0.0,1.0,14.0,8,256,3.13,2.6,1366,3807.0,864.0,379.99,454.0
73,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,16,256,3.72,1.8,1920,6134.0,888.0,750.0,850.0
210,QUAD-CORE,APPLE,INTEL,INTEL,INTEL IRIS PLUS 655,CORE I5,GLOSSY,0,0,0.0,1.0,13.3,8,256,3.02,2.4,2560,8264.0,1790.0,1499.0,1692.5
329,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,0,0,0.0,1.0,15.6,8,0,4.95,2.5,1366,3522.0,888.0,498.0,498.0
369,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,11.6,4,32,2.57,1.6,1366,759.0,329.0,188.38,199.99
101,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 500,CELERON,GLOSSY,1,0,0.0,0.0,14.0,4,32,3.4,1.1,1366,1123.0,317.0,237.0,237.0
218,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,16,512,2.89,2.7,3200,3500.0,888.0,999.66,999.66
154,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,1.0,1.0,12.0,8,256,1.66,2.5,2160,3522.0,888.0,999.99,999.99
225,DUAL-CORE,MICROSOFT,INTEL,INTEL,INTEL HD 615,CORE M3,GLOSSY,1,0,0.0,1.0,13.5,4,128,2.76,1.0,2256,2756.0,799.0,550.0,640.0
399,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,0,0,0.0,0.0,14.0,4,32,3.17,1.6,1366,759.0,329.0,159.99,159.99
63,HEXA-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,256,8.82,2.2,1920,10418.0,13557.0,1529.0,1529.0
2,DUAL-CORE,HP,AMD,AMD,AMD RADEON R4,A6,Unknown,0,0,0.0,0.0,15.6,8,0,4.63,2.5,1366,1032.0,346.0,439.0,449.0
441,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,1,0,0.0,0.0,11.6,4,32,2.6,1.6,1366,759.0,329.0,289.0,289.0
340,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 4400,CORE I3,GLOSSY,1,0,0.0,1.0,15.6,6,0,4.85,2.1,1366,1936.0,530.0,479.99,479.99
82,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,GLOSSY,1,1,0.0,1.0,15.6,16,1000,5.51,2.6,3840,11636.0,15156.0,2489.94,2499.97
284,QUAD-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 980M,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,128,8.3,2.5,1920,5439.0,7779.0,1899.0,2045.0
209,HEXA-CORE,APPLE,INTEL,AMD,AMD RADEON PRO 555X,CORE I7,GLOSSY,0,1,0.0,1.0,15.4,16,256,4.02,2.2,2880,10418.0,3140.0,1749.0,2048.0
471,QUAD-CORE,HP,AMD,AMD,AMD RADEON R5,A10,GLOSSY,1,0,0.0,0.0,15.6,6,0,4.72,2.4,1366,2426.0,148.0,421.99,435.82
181,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,500,5.0,2.6,1920,11636.0,15156.0,1299.0,1299.0
77,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I3,MATTE,0,0,0.0,1.0,15.6,8,0,4.85,2.2,1366,3676.0,888.0,373.91,399.0
296,QUAD-CORE,HP,AMD,AMD,AMD RADEON VEGA 10,RYZEN 7,MATTE,0,0,0.0,1.0,14.0,8,256,3.27,2.2,1920,6903.0,1571.0,623.65,655.89
452,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL HD 615,CORE M3,GLOSSY,1,0,0.0,1.0,12.2,4,64,2.98,1.0,1920,2756.0,799.0,433.25,458.99
495,QUAD-CORE,ASUS,AMD,AMD,AMD RADEON RX 560X,RYZEN 5,MATTE,0,1,0.0,1.0,15.6,8,256,4.85,2.1,1920,8163.0,3520.0,669.0,689.99
425,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 4400,CORE I5,MATTE,0,0,0.0,1.0,14.0,8,256,3.5,1.9,1366,2579.0,530.0,254.99,276.96
33,DUAL-CORE,HP,AMD,AMD,AMD RADEON VEGA 3,RYZEN 3,GLOSSY,1,0,0.0,1.0,15.6,8,0,4.6,2.5,1366,4061.0,904.0,475.0,551.57
79,QUAD-CORE,ACER,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,14.0,4,16,3.42,1.6,1920,1294.0,329.0,248.46,249.0
417,DUAL-CORE,ACER,INTEL,INTEL,INTEL UHD 620,CORE I3,MATTE,0,0,0.0,1.0,15.6,4,128,3.97,2.1,1920,4248.0,888.0,379.99,379.99
167,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD,CORE I5,MATTE,0,0,0.0,1.0,13.3,8,256,2.86,2.3,1920,2989.0,10.0,1499.11,1499.11
68,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,8,256,4.45,2.5,1920,3522.0,888.0,499.99,540.0
0,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD,CORE I7,GLOSSY,1,0,0.0,1.0,15.6,8,0,4.6,2.4,1920,2715.0,10.0,899.0,899.0
84,QUAD-CORE,LENOVO,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,15.6,8,256,7.05,2.8,1920,7069.0,10210.0,1099.99,1099.99
11,DUAL-CORE,HP,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,0,0,0.0,0.0,14.0,4,16,3.7,2.16,1366,618.0,10.0,236.87,236.88
229,DUAL-CORE,MICROSOFT,INTEL,INTEL,INTEL IRIS PLUS 640,CORE I7,GLOSSY,1,0,0.0,1.0,13.5,8,256,2.83,2.5,2256,4565.0,1377.0,770.0,773.0
22,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1650,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,512,4.1,2.6,1920,11636.0,7868.0,888.95,949.0
323,DUAL-CORE,MICROSOFT,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,0.0,12.3,8,256,1.7,2.6,2736,3780.0,888.0,734.99,740.0
78,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,16,512,2.7,2.7,3200,3500.0,888.0,1799.33,1799.33
247,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 520,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,8,256,3.66,2.5,1920,3369.0,864.0,884.99,884.99
72,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2080 MAX-Q,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,256,4.19,2.2,1920,10418.0,14482.0,2399.0,2799.0
474,DUAL-CORE,JUMPER,INTEL,INTEL,INTEL HD 500,CELERON,MATTE,0,0,0.0,0.0,13.3,6,64,2.7,1.1,1920,1123.0,317.0,219.0,229.0
335,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,8,256,5.07,2.5,1366,3522.0,888.0,443.88,444.0
18,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I7,MATTE,0,1,0.0,1.0,17.3,8,0,6.6,2.8,1920,7069.0,6657.0,1539.0,1539.0
280,QUAD-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,12,0,4.8,1.6,1920,6372.0,888.0,616.0,629.0
124,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 500,CELERON,MATTE,0,0,0.0,0.0,14.0,4,32,2.7,1.1,1366,1123.0,317.0,199.0,215.0
442,QUAD-CORE,HP,AMD,AMD,AMD RADEON R7,A12,GLOSSY,1,0,0.0,0.0,15.6,8,0,4.52,2.7,1366,2741.0,551.0,528.9,532.39
248,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,MATTE,0,1,0.0,1.0,15.6,8,128,5.66,2.8,1920,7069.0,5595.0,999.0,1129.0
39,QUAD-CORE,MICROSOFT,INTEL,INTEL,INTEL IRIS PLUS,CORE I7,GLOSSY,1,0,0.0,1.0,12.3,16,256,1.74,1.3,2736,8923.0,1888.0,1250.36,1259.0
460,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL HD 515,CORE M3,GLOSSY,1,0,0.0,1.0,12.3,4,32,2.4,0.9,2400,1862.0,688.0,444.44,489.99
46,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,8,256,4.41,1.6,1366,6068.0,888.0,431.05,445.0
301,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 6000,CORE I5,GLOSSY,0,0,0.0,1.0,13.3,8,128,2.96,1.8,1440,2559.0,829.0,749.99,749.99
195,QUAD-CORE,HP,INTEL,INTEL,INTEL HD 400,ATOM,GLOSSY,1,0,1.0,0.0,10.1,2,32,2.4,1.44,1280,985.0,329.0,389.98,399.99
358,QUAD-CORE,RAZER,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,16,256,2.98,1.8,3200,6134.0,888.0,1198.0,1198.0
104,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I5,MATTE,0,1,0.0,0.0,15.6,8,0,5.64,2.5,1920,5260.0,5595.0,629.0,649.0
