,cpu_core,brand,cpu_brand,gpu_brand,gpu,cpu_type_name,screen_surface,touchscreen,discrete_gpu,detachable_keyboard,threading,screen_size,ram,ssd,weight,cpu_GHZ,pixels_x,cpu_benchmark,gpu_benchmark,min_price,max_price
281,QUAD-CORE,ACER,INTEL,INTEL,INTEL HD 505,PENTIUM,MATTE,0,0,0.0,0.0,13.3,4,64,2.87,1.1,1920,2257.0,411.0,265.99,265.99
148,QUAD-CORE,ACER,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,GLOSSY,0,0,0.0,1.0,15.6,8,256,4.85,2.0,1920,6317.0,1509.0,480.98,625.0
155,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,8,0,4.85,1.6,1920,6372.0,888.0,559.0,665.0
446,QUAD-CORE,ACER,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,15.6,8,256,4.19,1.6,1920,6068.0,888.0,508.98,523.27
182,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 5500,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,8,0,4.85,2.2,1366,2546.0,568.0,579.5,579.5
69,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,13.3,8,256,3.56,1.6,1920,6372.0,888.0,623.0,642.0
244,DUAL-CORE,ASUS,INTEL,INTEL,INTEL UHD 600,CELERON,GLOSSY,1,0,0.0,0.0,14.0,4,64,3.3,1.1,1920,1278.0,345.0,305.0,320.55
298,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,15.6,12,0,4.83,1.8,1366,6134.0,888.0,689.0,689.0
412,DUAL-CORE,LENOVO,INTEL,NVIDIA,NVIDIA GEFORCE 940MX,CORE I7,MATTE,0,1,0.0,1.0,15.6,12,256,4.84,2.7,1920,3500.0,1603.0,1999.11,1999.11
501,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,16,1000,2.67,1.8,3840,6134.0,888.0,1577.94,1799.33
302,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,0,0,0.0,0.0,14.0,2,32,3.9,1.6,1366,672.0,10.0,249.99,249.99
493,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,0,0,0.0,1.0,17.3,8,0,4.19792490118577,1.6,1600,6372.0,888.0,749.0,779.0
180,QUAD-CORE,ASUS,INTEL,INTEL,INTEL HD 505,PENTIUM,Unknown,0,0,0.0,0.0,15.6,4,0,4.41,1.1,1366,2257.0,411.0,419.98,419.98
374,QUAD-CORE,LENOVO,INTEL,NVIDIA,NVIDIA QUADRO M1000M,XEON,MATTE,0,1,0.0,1.0,15.6,16,256,5.6,2.8,1920,4789.0,2939.0,2099.5,2099.5
132,DUAL-CORE,ASUS,INTEL,INTEL,INTEL UHD 615,CORE M3,GLOSSY,1,0,0.0,1.0,14.0,8,64,3.19,1.1,1920,2995.0,835.0,548.98,608.51
341,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,13.3,6,0,3.31,2.5,1920,3522.0,888.0,479.0,479.0
437,QUAD-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE MX150,CORE I5,MATTE,0,1,0.0,1.0,15.6,8,256,4.85,1.6,1920,6372.0,2387.0,583.99,605.99
176,QUAD-CORE,HP,AMD,AMD,AMD RADEON R6,A8,MATTE,0,0,0.0,0.0,14.0,8,128,3.41,1.6,1920,1895.0,521.0,499.67,499.67
310,,DELL,INTEL,INTEL,INTEL HD 3000,CORE I5,MATTE,0,0,0.0,0.0,14.0,4,128,4.56,2.0455467196819135,1366,4957.364729458918,258.0,175.99,189.97
349,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD,CORE I3,GLOSSY,0,0,0.0,1.0,15.6,4,0,4.63,1.9,1366,1863.0,10.0,439.88,439.88
485,DUAL-CORE,APPLE,INTEL,INTEL,INTEL IRIS PLUS 640,CORE I5,GLOSSY,0,0,0.0,1.0,13.3,8,128,3.02,2.3,2560,4675.0,1377.0,1169.0,1299.0
137,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 5500,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,8,256,2.8,2.5,3200,3369.0,568.0,999.99,999.99
497,QUAD-CORE,LG,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,0,0,0.0,1.0,17.0,16,1000,2.95,1.8,2560,6777.0,888.0,1496.99,1599.0
271,QUAD-CORE,HUAWEI,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,13.9,8,256,2.93,1.6,3000,6372.0,888.0,1259.99,1259.99
440,,HP,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,14.0,4,16,3.74,2.0455467196819135,1920,4957.364729458918,10.0,219.0,246.0
353,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,17.3,8,0,6.39,1.6,1600,6372.0,888.0,769.99,779.99
86,QUAD-CORE,ASUS,AMD,AMD,AMD RADEON R7,A12,MATTE,0,0,0.0,0.0,15.6,8,256,3.7,2.7,1920,2741.0,551.0,355.0,388.02
75,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 620,CORE I7,GLOSSY,0,0,0.0,1.0,12.5,16,512,2.1,2.7,1920,3500.0,888.0,1968.88,1968.88
447,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,0,0,0.0,1.0,14.0,16,512,2.6,1.8,1920,6777.0,888.0,1099.99,1099.99
15,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 4400,CORE I5,GLOSSY,0,0,0.0,1.0,15.6,6,0,6.0,1.7,1366,2343.0,530.0,399.9,399.9
203,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I5,MATTE,0,1,0.0,1.0,15.6,8,256,5.07,2.3,1920,7584.0,5595.0,624.0,640.0
274,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,256,5.6,2.8,1920,7069.0,5595.0,1499.98,1499.98
393,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,0,0,0.0,1.0,15.6,8,256,4.85,2.5,1366,3522.0,888.0,515.7,567.99
19,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,256,5.4,2.2,1920,10418.0,13557.0,1639.0,1649.0
453,QUAD-CORE,APPLE,INTEL,NVIDIA,NVIDIA GEFORCE GT 750M,CORE I7,GLOSSY,0,1,0.0,1.0,15.4,16,512,4.46,2.8,2880,7462.0,1232.0,1006.27,1099.0
338,DUAL-CORE,MICROSOFT,INTEL,INTEL,INTEL IRIS PLUS 640,CORE I7,GLOSSY,1,0,1.0,1.0,12.3,16,512,1.73,2.5,2736,4565.0,1377.0,975.82,999.66
56,QUAD-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,128,7.69,2.8,1920,7069.0,13557.0,1491.79,1496.79
333,DUAL-CORE,MICROSOFT,INTEL,NVIDIA,NVIDIA GEFORCE 940M,CORE I7,GLOSSY,1,1,0.0,1.0,13.5,16,1000,3.34,2.6,3000,3807.0,1048.0,1329.0,1428.81
500,DUAL-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I3,GLOSSY,1,0,0.0,1.0,14.0,4,128,3.84,2.1,1366,4248.0,888.0,322.98,329.99
238,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1650,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,1000,4.85,2.6,1920,11636.0,7868.0,1229.0,1239.0
405,DUAL-CORE,DELL,INTEL,INTEL,INTEL IRIS 540,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,8,256,2.8,2.2,3200,3555.0,1251.0,1199.0,1499.44
307,QUAD-CORE,LENOVO,MEDIATEK,IMAGINATION,IMAGINATION POWERVR GX6250,MEDIATEK,MATTE,0,0,0.0,0.0,11.6,4,16,2.68,2.1,1366,4957.364729458918,3113.8426294820715,119.98,125.9
468,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL UHD 600,CELERON,MATTE,0,0,0.0,0.0,15.6,6,64,3.75,1.1,1920,1278.0,345.0,265.99,299.99
431,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 4000,CORE I5,GLOSSY,0,0,0.0,1.0,11.6,4,64,2.38,1.7,1366,2093.0,329.0,303.43,399.99
489,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 520,CORE I5,GLOSSY,1,0,0.0,1.0,13.3,6,0,3.31,2.3,1920,2989.0,864.0,502.59,502.59
25,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,256,6.39,2.2,1920,10418.0,10210.0,1588.0,1599.0
365,QUAD-CORE,MICROSOFT,INTEL,INTEL,INTEL IRIS PLUS,CORE I5,GLOSSY,1,0,0.0,1.0,13.5,8,128,2.79,1.2,2256,9026.0,1888.0,798.0,929.0
42,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,16,512,2.9,1.8,1920,6134.0,888.0,995.49,999.0
140,DUAL-CORE,MICROSOFT,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,0.0,12.3,8,256,1.7,2.6,2736,3780.0,888.0,599.0,599.0
418,QUAD-CORE,LENOVO,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,GLOSSY,1,1,0.0,1.0,15.6,16,512,4.41,2.8,3840,7069.0,5595.0,1048.88,1048.88
316,HEXA-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I7,MATTE,0,1,0.0,1.0,15.6,8,128,5.29,2.2,1920,10418.0,6657.0,834.93,834.95
126,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,16,512,2.87,1.8,3840,6134.0,888.0,1499.99,1660.0
332,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,1,0,0.0,1.0,15.6,8,0,4.6,2.4,1366,2806.0,888.0,497.88,519.0
31,HEXA-CORE,SAMSUNG,OP1,Unknown,,OP1,GLOSSY,1,0,0.0,0.0,12.3,4,32,2.38,2.0,2400,4957.364729458918,3113.8426294820715,559.0,584.97
113,DUAL-CORE,MICROSOFT,INTEL,NVIDIA,NVIDIA GEFORCE,CORE I5,GLOSSY,1,1,1.0,1.0,13.5,8,256,3.48,2.4,3000,3368.0,3.0,599.0,679.8
153,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1660 TI,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,500,4.85,2.6,1920,11636.0,12791.0,1149.0,1199.0
211,QUAD-CORE,RAZER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,256,6.78,2.8,1920,7069.0,10210.0,1749.0,1799.99
422,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,500,4.6,2.6,1920,11636.0,16632.0,1549.0,1599.0
57,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 600,CELERON,MATTE,0,0,0.0,0.0,15.6,4,0,4.85,1.1,1366,2645.0,345.0,255.0,255.0
266,QUAD-CORE,HP,INTEL,INTEL,INTEL HD,PENTIUM,GLOSSY,1,0,0.0,0.0,15.6,4,0,4.7,2.16,1366,1179.0,10.0,399.99,420.0
24,QUAD-CORE,DELL,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,GLOSSY,1,0,0.0,1.0,15.6,16,0,4.89,2.0,1920,6317.0,1509.0,565.0,565.0
17,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,15.6,8,256,3.97,1.6,1920,6068.0,888.0,579.0,579.99
185,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,256,4.14,2.2,1920,10418.0,13557.0,1399.99,1449.99
66,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 4400,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,8,0,5.3,2.2,1920,2546.0,530.0,588.0,588.0
402,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,0,0,0.0,1.0,14.0,16,1000,2.49,1.9,2560,6620.0,888.0,1649.99,1649.99
396,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,11.6,4,32,2.87,1.6,1366,759.0,329.0,149.99,149.99
94,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,512,5.7,2.8,1920,7069.0,5595.0,1379.99,1379.99
496,DUAL-CORE,GOOGLE,INTEL,INTEL,INTEL HD 615,CORE I5,GLOSSY,1,0,0.0,1.0,12.3,8,128,2.4,1.2,2400,2958.0,799.0,860.0,875.0
354,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 520,CORE I3,GLOSSY,0,0,0.0,1.0,15.6,4,0,5.29,2.3,1366,2825.0,864.0,449.99,449.99
23,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 6000,CORE I5,GLOSSY,0,0,0.0,1.0,11.6,4,128,2.38,1.6,1366,2142.0,829.0,380.44,405.82
231,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1080,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,512,5.0,2.2,1920,10418.0,14716.0,1479.0,1489.0
265,DUAL-CORE,LENOVO,AMD,AMD,AMD RADEON R5,A9,MATTE,0,0,0.0,0.0,15.6,8,0,4.85,3.1,1366,1687.0,148.0,334.38,335.0
208,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,1,0,0.0,0.0,11.6,4,32,2.76,1.6,1366,759.0,329.0,199.99,214.9
5,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,1,0,0.0,0.0,11.6,4,16,2.6,1.6,1366,759.0,329.0,172.0,172.0
116,DUAL-CORE,HP,INTEL,INTEL,INTEL UHD 600,CELERON,MATTE,0,0,0.0,0.0,11.6,4,32,2.57,1.1,1366,1278.0,345.0,161.99,174.0
45,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,256,5.95,2.2,1920,10418.0,13557.0,1649.0,1649.0
394,QUAD-CORE,ACER,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,MATTE,0,0,0.0,1.0,15.6,8,0,5.07,2.0,1920,6317.0,1509.0,449.0,466.0
16,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1650,CORE I7,MATTE,0,1,0.0,1.0,15.6,8,256,5.07,2.2,1920,10418.0,7868.0,839.0,896.48
472,HEXA-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,256,9.74,2.2,1920,10418.0,13557.0,1645.0,1645.0
461,QUAD-CORE,ASUS,AMD,NVIDIA,NVIDIA GEFORCE GTX 1650,RYZEN 5,MATTE,0,1,0.0,1.0,15.6,8,256,4.85,2.1,1920,8163.0,7868.0,649.99,649.99
3,DUAL-CORE,ACER,INTEL,INTEL,INTEL UHD 620,CORE I3,MATTE,0,0,0.0,1.0,15.6,6,0,5.3,2.2,1920,3676.0,888.0,375.0,449.0
227,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,11.6,4,16,2.54,1.6,1366,672.0,10.0,138.0,145.97
482,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,8,256,3.72,1.8,1920,6134.0,888.0,829.99,844.97
60,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 605,PENTIUM,GLOSSY,1,0,0.0,0.0,15.6,8,0,4.3,1.1,1366,2801.0,355.0,379.0,407.98
110,QUAD-CORE,HUAWEI,INTEL,NVIDIA,NVIDIA GEFORCE MX150,CORE I7,GLOSSY,1,1,0.0,1.0,13.9,16,512,2.93,1.8,3000,6134.0,2387.0,1299.99,1399.0
